
1623706276.308038,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706281.633079,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706282.144783,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706282.789016,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706285.716159,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706285.721227,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706288.085456,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706288.084755,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706288.086604,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706289.013455,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706290.336683,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706290.452587,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34SUZWGLXIWM8'}
1623706290.963764,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34SUZWGLXIWM8'}
1623706291.668344,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34SUZWGLXIWM8'}
1623706292.381098,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34SUZWGLXIWM8'}
