
1624230149.073996,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXY0D2AMLKE2A'}
1624230149.689068,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXY0D2AMLKE2A'}
1624230150.30373,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXY0D2AMLKE2A'}
1624230151.533078,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXY0D2AMLKE2A'}
1624230151.843069,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXY0D2AMLKE2A'}
1624230155.831657,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624230155.832813,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXY0D2AMLKE2A'}
1624230185.945047,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624230193.309429,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
1624230193.92583,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230194.126759,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230197.611594,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXY0D2AMLKE2A'}
1624230197.793951,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXY0D2AMLKE2A'}
1624230203.140621,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624230203.216914,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624230207.135678,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXY0D2AMLKE2A'}
1624230210.511899,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624230210.821695,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624230211.744752,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624230212.664952,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624230212.879704,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624230214.815408,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624230215.123402,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624230219.420056,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AXY0D2AMLKE2A'}
1624230219.623608,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXY0D2AMLKE2A'}
1624230220.34375,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624230223.725046,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624230224.337995,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624230226.796954,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
