
1623971830.153972,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971831.68988,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971832.618737,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971834.836691,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24T2AUA2ECVED'}
1623971835.374825,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24T2AUA2ECVED'}
1623971836.603687,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24T2AUA2ECVED'}
1623971838.14244,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24T2AUA2ECVED'}
1623971839.063116,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24T2AUA2ECVED'}
1623971839.981971,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24T2AUA2ECVED'}
1623971843.359025,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971843.360383,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971844.554747,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971847.087607,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971847.088541,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971847.08926,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971849.205284,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971849.418696,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971849.462602,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971851.657236,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971851.781347,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971852.893837,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
