
1624152013.012372,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A15CYEEX5TXYBB'}
1624152013.632738,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A15CYEEX5TXYBB'}
1624152014.546221,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A15CYEEX5TXYBB'}
1624152015.468979,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A15CYEEX5TXYBB'}
1624152016.390637,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15CYEEX5TXYBB'}
1624152019.461976,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15CYEEX5TXYBB'}
1624152020.997923,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A15CYEEX5TXYBB'}
1624152020.998497,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15CYEEX5TXYBB'}
1624152051.101128,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15CYEEX5TXYBB'}
1624152053.561689,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15CYEEX5TXYBB'}
1624152054.790397,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A15CYEEX5TXYBB'}
1624152056.329413,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624152057.24662,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A15CYEEX5TXYBB'}
1624152058.172388,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15CYEEX5TXYBB'}
1624152058.795357,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15CYEEX5TXYBB'}
1624152059.705522,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15CYEEX5TXYBB'}
1624152060.318373,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15CYEEX5TXYBB'}
1624152061.246173,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624152061.854675,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A15CYEEX5TXYBB'}
1624152061.964927,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A15CYEEX5TXYBB'}
1624152064.312758,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A15CYEEX5TXYBB'}
