
1624131178.290489,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131179.10936,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131179.416892,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131180.950567,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131180.966896,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131181.56684,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131182.179882,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131182.794054,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131183.102895,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131184.332443,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131184.33924,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131185.867123,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131185.86796,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131186.481615,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
