
1623977976.375211,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AW0MG225VXWCN'}
1623977977.292797,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977977.467388,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977979.139839,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977979.202343,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977980.061321,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977980.778664,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977981.290344,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977984.050874,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977984.669311,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977984.880706,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977986.209187,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977986.512642,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977986.916872,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977987.604887,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0MG225VXWCN'}
1623977988.070062,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0MG225VXWCN'}
1623977990.809237,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0MG225VXWCN'}
1623977991.013,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0MG225VXWCN'}
1623977991.320948,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0MG225VXWCN'}
1623977993.57617,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977993.577396,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0MG225VXWCN'}
1623977993.578503,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
