
1625181891.489358,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2J9USSV2OF2NP'}
1625181891.899095,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2J9USSV2OF2NP'}
1625181892.617957,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2J9USSV2OF2NP'}
1625181892.887088,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2J9USSV2OF2NP'}
1625181893.538627,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2J9USSV2OF2NP'}
1625181894.159641,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2J9USSV2OF2NP'}
1625181894.773751,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2J9USSV2OF2NP'}
1625181896.002309,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2J9USSV2OF2NP'}
1625181896.004887,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2J9USSV2OF2NP'}
1625181897.839413,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2J9USSV2OF2NP'}
1625181897.938933,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A2J9USSV2OF2NP'}
