
1617487678.617729,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
1617487679.976202,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487680.117351,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487681.439759,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487681.647883,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487682.586684,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AUB6V4HVL1O45'}
1617487683.112449,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AUB6V4HVL1O45'}
1617487684.15695,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AUB6V4HVL1O45'}
1617487684.949531,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AUB6V4HVL1O45'}
1617487685.896161,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AUB6V4HVL1O45'}
1617487686.347363,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487686.759965,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487687.079525,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AUB6V4HVL1O45'}
1617487687.607762,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AUB6V4HVL1O45'}
1617487688.644767,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AUB6V4HVL1O45'}
1617487689.376258,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AUB6V4HVL1O45'}
1617487690.421089,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487690.457914,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'AUB6V4HVL1O45'}
1617487690.461519,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'complete', 'score': 65, 'worker-id': 'AUB6V4HVL1O45'}
1617487693.659699,AUB6V4HVL1O45,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AUB6V4HVL1O45'}
1617487695.855544,AUB6V4HVL1O45,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AUB6V4HVL1O45'}
1617487706.300007,AUB6V4HVL1O45,{'stage': 0, 'action': 'opened-page', 'worker-id': 'AUB6V4HVL1O45'}
1617487714.132499,AUB6V4HVL1O45,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'AUB6V4HVL1O45', 'stage': 0}
1617487714.758846,AUB6V4HVL1O45,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6314285714285715,0.855]', 'worker-id': 'AUB6V4HVL1O45', 'stage': 0}
1617487721.651712,AUB6V4HVL1O45,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.62,0.7835714285714286]', 'worker-id': 'AUB6V4HVL1O45', 'stage': 0}
1617487732.620746,AUB6V4HVL1O45,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.5985714285714285,0.7135714285714285]', 'worker-id': 'AUB6V4HVL1O45', 'stage': 0}
1617487738.966696,AUB6V4HVL1O45,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.5971428571428572,0.7264285714285714]', 'worker-id': 'AUB6V4HVL1O45', 'stage': 0}
1617487740.871039,AUB6V4HVL1O45,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'AUB6V4HVL1O45', 'stage': 0}
