
1624904513.256878,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AD1FDB9A61LMS'}
1624904514.584698,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AD1FDB9A61LMS'}
1624904515.02214,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AD1FDB9A61LMS'}
1624904515.64575,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904515.919273,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904516.103474,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904516.427784,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904516.531998,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904516.695581,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904517.400232,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AD1FDB9A61LMS'}
1624904517.598252,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AD1FDB9A61LMS'}
1624904518.886267,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904519.500716,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904520.118963,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AD1FDB9A61LMS'}
1624904521.040246,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AD1FDB9A61LMS'}
1624904521.186042,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AD1FDB9A61LMS'}
1624904521.956884,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904522.468135,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AD1FDB9A61LMS'}
1624904522.673079,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AD1FDB9A61LMS'}
1624904523.184875,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AD1FDB9A61LMS'}
1624904523.656733,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AD1FDB9A61LMS'}
1624904524.107066,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AD1FDB9A61LMS'}
1624904525.035673,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AD1FDB9A61LMS'}
1624904525.848546,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AD1FDB9A61LMS'}
1624904528.414437,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AD1FDB9A61LMS'}
1624904528.413388,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AD1FDB9A61LMS'}
1624904558.514133,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AD1FDB9A61LMS'}
1624904560.854042,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AD1FDB9A61LMS'}
1624904561.59048,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AD1FDB9A61LMS'}
1624904561.77569,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AD1FDB9A61LMS'}
