
1625190091.211418,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CW3HM9HVNVK'}
1625190091.219138,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CW3HM9HVNVK'}
1625190091.454822,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CW3HM9HVNVK'}
1625190091.600182,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CW3HM9HVNVK'}
1625190092.438667,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CW3HM9HVNVK'}
1625190092.439389,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CW3HM9HVNVK'}
1625190093.360983,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CW3HM9HVNVK'}
1625190093.361834,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CW3HM9HVNVK'}
1625190093.973735,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625190094.586344,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625190094.825701,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625190095.508565,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625190095.509359,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625190096.121924,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625190097.198528,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CW3HM9HVNVK'}
1625190097.659295,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CW3HM9HVNVK'}
