
1617490502.525469,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490503.152288,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490504.373444,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490505.974372,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490506.495663,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490508.275798,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490508.588239,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490508.671345,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490509.040424,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490514.959985,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1P3HHEXWNLJMP'}
