
1620955541.731316,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955542.194502,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955543.215786,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955543.21734,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955543.72913,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955543.890845,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955544.751887,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955545.110708,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955546.19141,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955546.482809,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955546.86081,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955547.421935,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955547.861683,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955548.346559,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955548.669755,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955550.182386,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955550.896092,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955551.106647,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955552.029094,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OO4PG3LBLP5I'}
