
1629822068.72753,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9705'}
1629822073.950561,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9705'}
1629822103.718937,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9705'}
1629822104.868949,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629822104.934486,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629822105.389013,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629822106.194466,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9705'}
1629822106.376996,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9705'}
1629822107.055179,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9705'}
1629822107.111669,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9705'}
1629822107.947653,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822107.948557,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822108.560195,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9705'}
1629822108.610134,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9705'}
1629822109.463567,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822109.464157,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822109.66707,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822110.194271,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822110.473035,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822110.925799,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822111.041701,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822111.4484,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822112.228803,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
1629822112.360637,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
1629822113.123744,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9705'}
1629822113.179685,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9705'}
1629822113.954974,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9705'}
1629822113.956833,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9705'}
1629822115.313638,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9705'}
1629822115.939795,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '9705'}
1629822116.255002,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '9705'}
1629822116.68853,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '9705'}
1629822117.020187,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '9705'}
1629822117.363288,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '9705'}
1629822117.986245,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629822118.469434,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9705'}
1629822121.161438,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9705'}
1629822151.138976,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9705'}
1629822152.287489,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9705'}
1629822152.443872,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9705'}
1629822153.583905,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822153.589406,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822154.481924,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9705'}
1629822154.533374,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9705'}
1629822155.224389,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9705'}
1629822155.283496,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9705'}
1629822156.576126,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822156.584543,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822156.939983,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9705'}
1629822157.07457,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9705'}
1629822157.613744,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
1629822157.690899,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
