
1630354825.232194,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7054'}
1630354825.692868,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7054'}
1630354826.207073,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7054'}
1630354826.571843,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7054'}
1630354827.026322,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7054'}
1630354827.628045,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7054'}
1630354828.91711,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7054'}
1630354859.42147,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7054'}
1630354860.159084,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7054'}
1630354860.289031,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7054'}
1630354860.989295,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7054'}
1630354861.824803,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7054'}
