
1629310725.307839,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8943'}
1629310725.521035,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8943'}
1629310726.126794,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8943'}
1629310726.721779,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8943'}
1629310728.521079,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8943'}
1629310758.501389,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8943'}
1629310759.142168,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8943'}
1629310759.347169,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8943'}
1629310760.343049,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310760.360503,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310761.538392,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310762.139986,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310762.253364,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310763.60832,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
