
1621129595.429678,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129595.769032,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129596.658685,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129596.968327,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129597.582407,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129597.864735,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129598.811163,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129599.123173,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129599.730845,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129600.97107,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129602.191293,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129602.59284,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129603.11939,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
