
1617149053.804529,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
1617149054.48016,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617149054.853341,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617149055.629864,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617149055.943157,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617149056.715983,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617149056.950431,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617149057.70462,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617149057.904575,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617149058.78465,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617149058.965283,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617149059.604216,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617149059.788323,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617149060.500688,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617149060.698003,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617149061.428047,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617149062.356692,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617149063.254827,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617149063.868597,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A147OXF9QMT2Z8'}
1617149064.363423,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617149065.031799,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617149065.367516,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617149065.802066,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617149066.450216,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617149067.335669,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A147OXF9QMT2Z8'}
1617149068.014495,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A147OXF9QMT2Z8'}
1617149068.619445,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
