
1619806320.735108,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1V12EEDWM5F2H'}
1619806321.56998,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1V12EEDWM5F2H'}
1619806322.406504,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1V12EEDWM5F2H'}
1619806323.139808,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1V12EEDWM5F2H'}
1619806323.871048,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1V12EEDWM5F2H'}
1619806324.807969,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1V12EEDWM5F2H'}
1619806326.062807,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1V12EEDWM5F2H'}
1619806327.315077,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1V12EEDWM5F2H'}
1619806328.150735,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1V12EEDWM5F2H'}
1619806328.778058,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1V12EEDWM5F2H'}
1619806329.717116,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1V12EEDWM5F2H'}
1619806330.240045,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1V12EEDWM5F2H'}
1619806331.388296,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1V12EEDWM5F2H'}
1619806332.11968,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1V12EEDWM5F2H'}
1619806334.104975,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1V12EEDWM5F2H'}
1619806334.106383,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1V12EEDWM5F2H'}
