
1619657681.454194,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657682.190468,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2871R3LEPWMMK'}
1619657682.191156,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657682.711457,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2871R3LEPWMMK'}
1619657683.547524,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2871R3LEPWMMK'}
1619657684.06982,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657684.134856,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657685.32445,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657685.740411,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
1619657685.836174,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
1619657686.15853,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
1619657686.788044,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
1619657686.871665,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
1619657687.30729,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
