
1616100853.247594,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AZMOA8ONG0D2U'}
1616100853.874751,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AZMOA8ONG0D2U'}
1616100855.02396,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100855.025623,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100885.000737,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100886.672304,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AZMOA8ONG0D2U'}
1616100886.801449,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AZMOA8ONG0D2U'}
1616100887.925243,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AZMOA8ONG0D2U'}
1616100888.005879,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AZMOA8ONG0D2U'}
1616100888.907202,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AZMOA8ONG0D2U'}
1616100889.596324,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100890.432086,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100890.497011,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100891.058948,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100891.185531,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100891.581122,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100892.314552,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100892.521084,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100893.147734,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100893.218758,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100894.297066,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AZMOA8ONG0D2U'}
1616100894.413618,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AZMOA8ONG0D2U'}
1616100894.923201,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AZMOA8ONG0D2U'}
1616100895.132454,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AZMOA8ONG0D2U'}
1616100895.968369,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AZMOA8ONG0D2U'}
