
1616203543.943658,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203545.493097,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203545.806344,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203546.536498,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203546.851044,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203547.829903,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203548.938842,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203549.775328,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203550.924229,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203552.28093,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203552.803996,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203561.161237,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203562.100122,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203562.936508,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203564.293316,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203565.232796,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203566.486405,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203567.53113,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203568.575571,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203569.516286,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203571.19088,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203571.191332,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203574.529241,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203574.577302,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203580.377907,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203581.213929,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203582.780942,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203584.350106,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203584.351378,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203585.496629,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203586.541658,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203586.542461,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203586.633185,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203587.979131,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203588.322595,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203589.361613,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203589.675533,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203589.783008,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203591.453015,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
