
1614015076.012138,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ARI1EMAHUA9PO'}
1614015076.137685,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ARI1EMAHUA9PO'}
1614015076.847627,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614015077.68337,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ARI1EMAHUA9PO'}
1614015078.562935,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ARI1EMAHUA9PO'}
1614015079.1454,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614015079.669747,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614015080.190006,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614015080.921361,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ARI1EMAHUA9PO'}
1614015081.881649,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ARI1EMAHUA9PO'}
1614015081.883727,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614015111.838296,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614015113.934553,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ARI1EMAHUA9PO'}
1614015114.240518,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ARI1EMAHUA9PO'}
1614015115.18354,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614015115.291726,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614015115.96064,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614015116.602616,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614015117.37823,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ARI1EMAHUA9PO'}
1614015117.792316,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ARI1EMAHUA9PO'}
1614015118.418087,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614015118.619742,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614015119.776214,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ARI1EMAHUA9PO'}
