
1614298822.652708,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298823.592499,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298824.324038,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298825.055567,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298825.368187,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298825.814708,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298826.83149,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298827.248519,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298827.979686,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A21ZK49H9LSSRY'}
1614298828.292827,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A21ZK49H9LSSRY'}
1614298828.694019,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A21ZK49H9LSSRY'}
1614298829.143764,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A21ZK49H9LSSRY'}
1614298829.468787,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A21ZK49H9LSSRY'}
1614298829.967434,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A21ZK49H9LSSRY'}
1614298831.008789,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A21ZK49H9LSSRY'}
1614298831.426733,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A21ZK49H9LSSRY'}
1614298831.551354,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A21ZK49H9LSSRY'}
1614298833.829254,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A21ZK49H9LSSRY'}
1614298834.455764,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A21ZK49H9LSSRY'}
1614298835.363336,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A21ZK49H9LSSRY'}
1614298835.800579,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A21ZK49H9LSSRY'}
1614298836.440012,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298837.067186,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A21ZK49H9LSSRY'}
1614298837.485543,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A21ZK49H9LSSRY'}
1614298837.949155,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A21ZK49H9LSSRY'}
1614298839.615995,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298839.618027,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A21ZK49H9LSSRY'}
1614298869.6563,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298870.907352,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A21ZK49H9LSSRY'}
1614298871.117434,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A21ZK49H9LSSRY'}
1614298871.953259,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298872.163416,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
