
1614013663.625035,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013664.388386,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013665.119512,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013665.745565,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013666.358667,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013667.104016,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013668.461273,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OR46JV43TOJV'}
1614013669.719516,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OR46JV43TOJV'}
1614013669.718084,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OR46JV43TOJV'}
1614013671.072399,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OR46JV43TOJV'}
1614013671.280994,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OR46JV43TOJV'}
1614013672.743528,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OR46JV43TOJV'}
1614013673.893602,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OR46JV43TOJV'}
1614013674.415378,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OR46JV43TOJV'}
1614013675.027943,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OR46JV43TOJV'}
1614013676.714541,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OR46JV43TOJV'}
1614013676.719034,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2OR46JV43TOJV'}
1614013689.769837,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OR46JV43TOJV'}
1614013689.877078,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OR46JV43TOJV'}
1614013691.022865,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OR46JV43TOJV'}
1614013691.640131,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OR46JV43TOJV'}
1614013692.484215,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OR46JV43TOJV'}
1614013693.613363,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OR46JV43TOJV'}
