
1616189396.930694,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1VWP7HOSGKATD'}
1616189397.244642,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1VWP7HOSGKATD'}
1616189397.767006,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1VWP7HOSGKATD'}
1616189398.602475,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1VWP7HOSGKATD'}
1616189398.812765,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1VWP7HOSGKATD'}
1616189399.124985,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1VWP7HOSGKATD'}
1616189401.058035,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1VWP7HOSGKATD'}
1616189401.423107,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1VWP7HOSGKATD'}
1616189401.631039,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1VWP7HOSGKATD'}
1616189402.048653,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189402.128772,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189402.571559,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189402.885412,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189403.302816,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189403.827589,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189404.868737,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189405.183112,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189405.81021,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189407.691124,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1VWP7HOSGKATD'}
